begin,end,leftContext,surface,rightContext,entityNum,entityLabel,entityGroup
63687,63697,"ANDO
          zu ihren Füßen.",Ich bin's!,"MADAME SOMMER
          mit ei",0,"transfer(fernando, [audience, madame_sommer_bzw_caecilie], identity(LOVER[MADAME_SOMMER_BZW_CAECILIE], fernando))",false
12451,12488,lter Betrübnis genug erfahren.,Sie hatte ein Kind; es starb ihr bald,";
            im Garten ist se",1,"transfer(postmeisterin, [audience, madame_sommer_bzw_caecilie, lucie], dead(CHILD[FRAU-BARONESSE]))",false
10949,10979,"ichts von ihm.
            Und",sie hat ihn geliebt über alles,". Mein Mann konnte nie fertig ",2,"transfer(postmeisterin, [audience, madame_sommer_bzw_caecilie], in_love_with(""Frau Baronesse"", SPOUSE[FRAU_BARONESSE]))",false
27444,27621," Ratschluß ist unerforschlich.","Wenn ich von seinen Küssen meine
            Augen zu dir hinauf wendete, mein Herz an dem seinen glühte, und ich mit bebenden Lippen
            seine große Seele in mich trank",", und ich dann mit Wonnetränen",3,"transfer(stella, audience, identity(""Frau Baronesse"", stella))",false
43491,43590," 
        
          FERNANDO.","Stella! meine Stella! An ihrem Halse. Gott im Himmel, du gibst mir meine
            Tränen wieder!","STELLA.
          O du Einzige",4,"transfer(fernando, stella, in_love_with(fernando, stella))",false
36704,36768,"e Qual herabblinken! Und dann,","auf einmal das Grab meines Kindes zu
            meinen Füßen. –","MADAME SOMMER.
          Sie h",5,"transfer(""Frau Baronesse"", [audience, madame_sommer_bzw_caecilie, lucie], dead(CHILD[FRAU-BARONESSE]), already-known)",false
53267,53460,er Freude manche Not brachten.,"Ich erinnere mich noch an alles genau:
            wie wir Cäcilien so liebenswürdig fanden, uns ihr aufdrangen, unsere jugendliche
            Freiheit nicht geschwind genug loswerden konnten.","FERNANDO.
          Es war doc",6,"transfer(verwalter, audience, spouses(fernando, madame_sommer_bzw_caecilie))",false
80297,80331," 
        
          FERNANDO.",Und das Mädchen ist meine Tochter!,"Stella! Er bemerkt erst, daß s",7,"transfer(fernando, stella, child_of(lucie, fernando))",false
55647,55967,"  FERNANDO
          vor sich.","O Gott! und auch ihre Gestalt muß mich an mein Vergehen erinnern! Herz! Unser Herz! o,
            wenn's in dir liegt, so zu fühlen und so zu handeln, warum hast du nicht auch Kraft, dir
            das Geschehene zu verzeihen? – Ein Schatten der Gestalt meiner Frau! – O wo seh ich den
            nicht! Laut. Madame!","MADAME SOMMER.
          Was b",8,"transfer(fernando, audience, identity(SPOUSE[FERNANDO], madame_sommer_bzw_caecilie), uncertain)",false
42848,42897,"TELLA
          zu den Wänden.",Er ist wieder da! Seht ihr ihn? Er ist wieder da!,"Vor das Gemälde einer Venus
  ",9,"transfer(stella, audience, identity(""Offizier"", fernando))",false
37294,37298,"! So groß, denk ich, wär meine",Mina,"! Ich heb es ängstlich liebend",10,"transfer(stella, [audience, madame_sommer_bzw_caecilie, lucie], has_name(CHILD[STELLA], ""Mina""))",false
